ZIP,PO_NAME,STATE,ZIP_TYPE,ZCTA_crosswalk
30046,Lawrenceville,GA,ZIP Code Area,30046
30045,Lawrenceville,GA,ZIP Code Area,30045
30043,Lawrenceville,GA,ZIP Code Area,30043
30049,Lawrenceville,GA,Post Office or large volume customer,30043
30076,Roswell,GA,ZIP Code Area,30076
30040,Cumming,GA,ZIP Code Area,30040
30029,North Metro,GA,Post Office or large volume customer,30096
30023,Alpharetta,GA,Post Office or large volume customer,30009
30024,Suwanee,GA,ZIP Code Area,30024
30098,Duluth,GA,Post Office or large volume customer,30097
30097,Duluth,GA,ZIP Code Area,30097
30095,Duluth,GA,Post Office or large volume customer,30096
30148,Marble Hill,GA,ZIP Code Area,30148
30096,Duluth,GA,ZIP Code Area,30096
30092,Norcross,GA,ZIP Code Area,30092
30091,Norcross,GA,Post Office or large volume customer,30071
30099,Duluth,GA,Post Office or large volume customer,30096
30338,Atlanta,GA,ZIP Code Area,30338
30356,Atlanta,GA,Post Office or large volume customer,30338
30534,Dawsonville,GA,ZIP Code Area,30534
30528,Cleveland,GA,ZIP Code Area,30528
30530,Commerce,GA,ZIP Code Area,30530
30533,Dahlonega,GA,ZIP Code Area,30533
30531,Cornelia,GA,ZIP Code Area,30531
30543,Gillsville,GA,ZIP Code Area,30543
30527,Clermont,GA,ZIP Code Area,30527
30519,Buford,GA,ZIP Code Area,30519
30523,Clarkesville,GA,ZIP Code Area,30523
30512,Blairsville,GA,ZIP Code Area,30512
30507,Gainesville,GA,ZIP Code Area,30507
30607,Athens,GA,ZIP Code Area,30607
30506,Gainesville,GA,ZIP Code Area,30506
30510,Alto,GA,ZIP Code Area,30510
30518,Buford,GA,ZIP Code Area,30518
30514,Blairsville,GA,Post Office or large volume customer,30512
30511,Baldwin,GA,ZIP Code Area,30511
30521,Carnesville,GA,ZIP Code Area,30521
30515,Buford,GA,Post Office or large volume customer,30518
30525,Clayton,GA,ZIP Code Area,30525
30517,Braselton,GA,ZIP Code Area,30517
30582,Young Harris,GA,ZIP Code Area,30582
30612,Athens,GA,Post Office or large volume customer,30605
30601,Athens,GA,ZIP Code Area,30601
30580,Turnerville,GA,Post Office or large volume customer,30523
30602,Athens,GA,ZIP Code Area,30602
30597,Dahlonega,GA,ZIP Code Area,30533
30581,Wiley,GA,Post Office or large volume customer,30581
30562,Mountain City,GA,Post Office or large volume customer,30562
30608,Athens,GA,Post Office or large volume customer,30602
30603,Athens,GA,Post Office or large volume customer,30605
30604,Athens,GA,Post Office or large volume customer,30606
30606,Athens,GA,ZIP Code Area,30606
30535,Demorest,GA,ZIP Code Area,30535
30545,Helen,GA,ZIP Code Area,30545
30537,Dillard,GA,ZIP Code Area,30537
30538,Eastanollee,GA,ZIP Code Area,30538
30501,Gainesville,GA,ZIP Code Area,30501
30503,Gainesville,GA,Post Office or large volume customer,30501
30546,Hiawassee,GA,ZIP Code Area,30546
30502,Chestnut Mountain,GA,Post Office or large volume customer,30542
30542,Flowery Branch,GA,ZIP Code Area,30542
30529,Commerce,GA,ZIP Code Area,30529
30504,Gainesville,GA,ZIP Code Area,30504
30549,Jefferson,GA,ZIP Code Area,30549
30547,Homer,GA,ZIP Code Area,30547
30680,Winder,GA,ZIP Code Area,30680
30666,Statham,GA,ZIP Code Area,30666
30683,Winterville,GA,ZIP Code Area,30683
30646,Hull,GA,ZIP Code Area,30646
30647,Ila,GA,Post Office or large volume customer,30633
30633,Danielsville,GA,ZIP Code Area,30633
30628,Colbert,GA,ZIP Code Area,30628
30567,Pendergrass,GA,ZIP Code Area,30567
30559,Mineral Bluff,GA,ZIP Code Area,30559
30558,Maysville,GA,ZIP Code Area,30558
30554,Lula,GA,ZIP Code Area,30554
30568,Rabun Gap,GA,ZIP Code Area,30568
30563,Mount Airy,GA,ZIP Code Area,30563
30572,Suches,GA,ZIP Code Area,30572
30571,Sautee Nacoochee,GA,ZIP Code Area,30571
30552,Lakemont,GA,ZIP Code Area,30552
30577,Toccoa,GA,ZIP Code Area,30577
30564,Murrayville,GA,ZIP Code Area,30564
30565,Nicholson,GA,ZIP Code Area,30565
30575,Talmo,GA,ZIP Code Area,30575
30573,Tallulah Falls,GA,Post Office or large volume customer,30573
30566,Oakwood,GA,ZIP Code Area,30566
30576,Tiger,GA,ZIP Code Area,30576
30598,Toccoa Falls,GA,Post Office or large volume customer,30577
30599,Commerce,GA,Post Office or large volume customer,30529
30548,Hoschton,GA,ZIP Code Area,30548
30560,Morganton,GA,ZIP Code Area,30560
31126,Atlanta,GA,Post Office or large volume customer,30096
31004,Bolingbroke,GA,Post Office or large volume customer,31210
31016,Culloden,GA,ZIP Code Area,31016
31024,Eatonton,GA,ZIP Code Area,31024
31026,Eatonton,GA,Post Office or large volume customer,31024
31029,Forsyth,GA,ZIP Code Area,31029
31033,Haddock,GA,ZIP Code Area,31033
31031,Gordon,GA,ZIP Code Area,31031
